KRAKEN:1INCHUSD.P
KRAKEN:1MBABYDOGEUSD.P
KRAKEN:2ZUSD.P
KRAKEN:AAVEUSD.P
KRAKEN:ACEUSD.P
KRAKEN:ADAUSD.P
KRAKEN:AEVOUSD.P
KRAKEN:AGLDUSD.P
KRAKEN:AIUSD.P
KRAKEN:AIXBTUSD.P
KRAKEN:AKTUSD.P
KRAKEN:ALCHUSD.P
KRAKEN:ALGOUSD.P
KRAKEN:ALICEUSD.P
KRAKEN:ALTUSD.P
KRAKEN:ANIMEUSD.P
KRAKEN:ANKRUSD.P
KRAKEN:APEUSD.P
KRAKEN:API3USD.P
KRAKEN:APTUSD.P
KRAKEN:ARBUSD.P
KRAKEN:ARCUSD.P
KRAKEN:ARKMUSD.P
KRAKEN:ARUSD.P
KRAKEN:ASTERUSD.P
KRAKEN:ASTRUSD.P
KRAKEN:ATHUSD.P
KRAKEN:ATOMUSD.P
KRAKEN:AUCTIONUSD.P
KRAKEN:AUDUSD.P
KRAKEN:AVAXUSD.P
KRAKEN:AXSUSD.P
KRAKEN:B3USD.P
KRAKEN:BANANAUSD.P
KRAKEN:BANDUSD.P
KRAKEN:BATUSD.P
KRAKEN:BBUSD.P
KRAKEN:BCHUSD.P
KRAKEN:BEAMUSD.P
KRAKEN:BELUSD.P
KRAKEN:BERAUSD.P
KRAKEN:BICOUSD.P
KRAKEN:BIGTIMEUSD.P
KRAKEN:BIOUSD.P
KRAKEN:BLURUSD.P
KRAKEN:BNBUSD.P
KRAKEN:BNTUSD.P
KRAKEN:BOMEUSD.P
KRAKEN:BONKUSD.P
KRAKEN:BRETTUSD.P
KRAKEN:BSUUSD.P
KRAKEN:C98USD.P
KRAKEN:CAKEUSD.P
KRAKEN:CATIUSD.P
KRAKEN:CATUSD.P
KRAKEN:CELOUSD.P
KRAKEN:CELRUSD.P
KRAKEN:CETUSUSD.P
KRAKEN:CFXUSD.P
KRAKEN:CGPTUSD.P
KRAKEN:CHFUSD.P
KRAKEN:CHILLGUYUSD.P
KRAKEN:CHRUSD.P
KRAKEN:CHZUSD.P
KRAKEN:CKBUSD.P
KRAKEN:COMPUSD.P
KRAKEN:COOKIEUSD.P
KRAKEN:COTIUSD.P
KRAKEN:COWUSD.P
KRAKEN:CROUSD.P
KRAKEN:CRVUSD.P
KRAKEN:CTSIUSD.P
KRAKEN:CVXUSD.P
KRAKEN:CYBERUSD.P
KRAKEN:DASHUSD.P
KRAKEN:DEEPUSD.P
KRAKEN:DEGENUSD.P
KRAKEN:DENTUSD.P
KRAKEN:DEXEUSD.P
KRAKEN:DFUSD.P
KRAKEN:DOGEUSD.P
KRAKEN:DOGSUSD.P
KRAKEN:DOGUSD.P
KRAKEN:DOTUSD.P
KRAKEN:DRIFTUSD.P
KRAKEN:DYDXUSD.P
KRAKEN:DYMUSD.P
KRAKEN:EGLDUSD.P
KRAKEN:EIGENUSD.P
KRAKEN:ENAUSD.P
KRAKEN:ENJUSD.P
KRAKEN:ENSUSD.P
KRAKEN:ESPORTSUSD.P
