COINBASE:BAND-EUR
COINBASE:USDC-GBP
COINBASE:GRT-USD
COINBASE:SUSHI-GBP
COINBASE:BOBA-USDT
COINBASE:CRV-BTC
COINBASE:SD-USD
COINBASE:BAND-USD
COINBASE:USDT-GBP
COINBASE:NMR-GBP
COINBASE:FET-USD
COINBASE:AAVE-BTC
COINBASE:G-USD
COINBASE:JTO-USD
COINBASE:OOKI-USD
COINBASE:YFI-BTC
COINBASE:00-USD
COINBASE:BIGTIME-USD
COINBASE:OXT-USD
COINBASE:BAL-USD
COINBASE:IMX-USD
COINBASE:AUCTION-EUR
COINBASE:SPA-USD
COINBASE:RAD-USDT
COINBASE:ENJ-USDT
COINBASE:FIL-EUR
COINBASE:APE-USDT
COINBASE:ILV-USD
COINBASE:FARM-USDT
COINBASE:MASK-EUR
COINBASE:VARA-USD
COINBASE:DASH-BTC
COINBASE:WBTC-USD
COINBASE:REQ-GBP
COINBASE:ZEC-BTC
COINBASE:YFI-USD
COINBASE:CRPT-USD
COINBASE:DESO-EUR
COINBASE:MIR-EUR
COINBASE:WIF-USD
COINBASE:FLOKI-USD
COINBASE:DAI-USDC
COINBASE:LTC-BTC
COINBASE:TRB-BTC
COINBASE:BIT-USDT
COINBASE:DAR-USD
COINBASE:PNG-USD
COINBASE:AUDIO-USD
COINBASE:RNDR-USD
COINBASE:RLC-USD
COINBASE:WCFG-USDT
COINBASE:ETH-USDT
COINBASE:ARPA-USD
COINBASE:BCH-EUR
COINBASE:ME-USD
COINBASE:BTRST-BTC
COINBASE:RARE-USD
COINBASE:NKN-GBP
COINBASE:DESO-USDT
COINBASE:MDT-USD
COINBASE:ALEPH-USD
COINBASE:RNDR-EUR
COINBASE:ENJ-USD
COINBASE:FIS-USD
COINBASE:POND-USD
COINBASE:PERP-USDT
COINBASE:WAMPL-USDT
COINBASE:USDT-USDC
COINBASE:LTC-USD
COINBASE:NMR-EUR
COINBASE:XCN-USDT
COINBASE:DEXT-USD
COINBASE:TVK-USD
COINBASE:COMP-BTC
COINBASE:NMR-BTC
COINBASE:DIMO-USD
COINBASE:DIA-USD
COINBASE:POLY-USD
COINBASE:MUSD-USD
COINBASE:DOGE-GBP
COINBASE:MATH-USDT
COINBASE:XRP-EUR
COINBASE:MATIC-GBP
COINBASE:DOT-USD
COINBASE:BADGER-EUR
COINBASE:PUNDIX-USD
COINBASE:CHZ-USD
COINBASE:ARPA-USDT
COINBASE:API3-USDT
COINBASE:UMA-EUR
COINBASE:DOT-BTC
COINBASE:PRQ-USD
COINBASE:ERN-EUR
COINBASE:BNT-GBP
COINBASE:ICP-BTC
COINBASE:ADA-USDT
COINBASE:LCX-EUR
COINBASE:LINK-GBP
COINBASE:SEAM-USD
COINBASE:XLM-USDT
COINBASE:SYLO-USD
COINBASE:GALA-USDT
COINBASE:TRAC-USDT
COINBASE:FORTH-GBP
COINBASE:EIGEN-USD
COINBASE:CTSI-USD
COINBASE:ADA-USD
COINBASE:LQTY-EUR
COINBASE:INJ-USD
COINBASE:XTZ-EUR
COINBASE:DIA-USDT
COINBASE:CLV-USD
COINBASE:ACH-USDT
COINBASE:WAMPL-USD
COINBASE:RNDR-USDT
COINBASE:UNI-EUR
COINBASE:LQTY-USD
COINBASE:TNSR-USD
COINBASE:SOL-GBP
COINBASE:LRC-USD
COINBASE:RBN-USD
COINBASE:SOL-ETH
COINBASE:TONE-USD
COINBASE:JUP-USD
COINBASE:MAGIC-USD
COINBASE:UNI-BTC
COINBASE:SUSHI-EUR
COINBASE:LINK-USD
COINBASE:RAI-USD
COINBASE:NU-GBP
COINBASE:BAL-BTC
COINBASE:BOND-USD
COINBASE:VGX-EUR
COINBASE:MINA-USDT
COINBASE:AAVE-EUR
COINBASE:OP-USD
COINBASE:BICO-USDT
COINBASE:PYR-USD
COINBASE:BAT-ETH
COINBASE:HFT-USD
COINBASE:LINK-ETH
COINBASE:1INCH-BTC
COINBASE:MANA-EUR
COINBASE:MEDIA-USD
COINBASE:KARRAT-USD
COINBASE:PEPE-USD
COINBASE:GRT-GBP
COINBASE:ADA-ETH
COINBASE:AKT-USD
COINBASE:POLY-USDT
COINBASE:ZRO-USD
COINBASE:UMA-GBP
COINBASE:SAND-USD
COINBASE:UPI-USDT
COINBASE:MATIC-BTC
COINBASE:FARM-USD
COINBASE:CLV-GBP
COINBASE:IDEX-USDT
COINBASE:API3-USD
COINBASE:AUCTION-USDT
COINBASE:TRAC-USD
COINBASE:MOVE-USD
COINBASE:BCH-GBP
COINBASE:WAXL-USD
COINBASE:DOT-EUR
COINBASE:ENS-USDT
COINBASE:KSM-USD
COINBASE:ADA-BTC
COINBASE:BONK-USD
COINBASE:HOPR-USD
COINBASE:DREP-USD
COINBASE:ACS-USD
COINBASE:ATOM-BTC
COINBASE:EOS-BTC
COINBASE:UNI-GBP
COINBASE:KRL-EUR
COINBASE:QUICK-USD
COINBASE:TRU-USD
COINBASE:ZRX-BTC
COINBASE:POWR-USD
COINBASE:TRAC-EUR
COINBASE:AIOZ-USD
COINBASE:LTC-GBP
COINBASE:SUKU-USDT
COINBASE:WCFG-EUR
COINBASE:MDT-USDT
COINBASE:TIME-USDT
COINBASE:XCN-USD
COINBASE:FIDA-EUR
COINBASE:WLUNA-USD
COINBASE:CRO-EUR
COINBASE:AIOZ-USDT
COINBASE:HBAR-USD
COINBASE:ALGO-GBP
COINBASE:MASK-GBP
COINBASE:GNT-USDC
COINBASE:CHZ-USDT
COINBASE:IOTX-USD
