BITSTAMP:AAVEEUR
BITSTAMP:AAVEUSD
BITSTAMP:ADAEUR
BITSTAMP:ADAUSD
BITSTAMP:ALGOEUR
BITSTAMP:ALGOUSD
BITSTAMP:APEEUR
BITSTAMP:APEUSD
BITSTAMP:APTEUR
BITSTAMP:APTUSD
BITSTAMP:ARBEUR
BITSTAMP:ARBUSD
BITSTAMP:ASTEREUR
BITSTAMP:ASTERUSD
BITSTAMP:ATOMEUR
BITSTAMP:ATOMUSD
BITSTAMP:AUDIOEUR
BITSTAMP:AUDIOUSD
BITSTAMP:AVAXEUR
BITSTAMP:AVAXUSD
BITSTAMP:AVNTEUR
BITSTAMP:AVNTUSD
BITSTAMP:AXSEUR
BITSTAMP:AXSUSD
BITSTAMP:BATEUR
BITSTAMP:BATUSD
BITSTAMP:BCHEUR
BITSTAMP:BCHUSD
BITSTAMP:BIOEUR
BITSTAMP:BIOUSD
BITSTAMP:BNBEUR
BITSTAMP:BNBUSD
BITSTAMP:BONKEUR
BITSTAMP:BONKUSD
BITSTAMP:BTCEUR
BITSTAMP:BTCEURC
BITSTAMP:BTCEURCV
BITSTAMP:BTCGBP
BITSTAMP:BTCRLUSD
BITSTAMP:BTCUSD
BITSTAMP:BTCUSDC
BITSTAMP:BTCUSDT
BITSTAMP:CAKEEUR
BITSTAMP:CAKEUSD
BITSTAMP:CHZEUR
BITSTAMP:CHZUSD
BITSTAMP:COMPEUR
BITSTAMP:COMPUSD
BITSTAMP:CRVEUR
BITSTAMP:CRVUSD
BITSTAMP:CSPREUR
BITSTAMP:CSPRUSD
BITSTAMP:CTSIEUR
BITSTAMP:CTSIUSD
BITSTAMP:CTXEUR
BITSTAMP:CTXUSD
BITSTAMP:CXTEUR
BITSTAMP:CXTUSD
BITSTAMP:DAIUSD
BITSTAMP:DOGEEUR
BITSTAMP:DOGEUSD
BITSTAMP:DOTEUR
BITSTAMP:DOTUSD
BITSTAMP:EGLDEUR
BITSTAMP:EGLDUSD
BITSTAMP:ENAEUR
BITSTAMP:ENAUSD
BITSTAMP:ENJEUR
BITSTAMP:ENJUSD
BITSTAMP:ETCEUR
BITSTAMP:ETCUSD
BITSTAMP:ETHBTC
BITSTAMP:ETHEUR
BITSTAMP:ETHEURC
BITSTAMP:ETHEURCV
BITSTAMP:ETHGBP
BITSTAMP:ETHRLUSD
BITSTAMP:ETHUSD
BITSTAMP:ETHUSDC
BITSTAMP:ETHUSDT
BITSTAMP:ETH2ETH
BITSTAMP:EURUSD
BITSTAMP:EURCEUR
BITSTAMP:EURCUSDC
BITSTAMP:EURCVEUR
BITSTAMP:EURCVUSDC
BITSTAMP:EURCVUSDT
BITSTAMP:FARTCOINEUR
BITSTAMP:FARTCOINUSD
BITSTAMP:FETEUR
BITSTAMP:FETUSD
BITSTAMP:FIGHTEUR
BITSTAMP:FIGHTUSD
BITSTAMP:FLOKIEUR
BITSTAMP:FLOKIUSD
BITSTAMP:FLREUR
BITSTAMP:FLRUSD
BITSTAMP:FTMEUR
BITSTAMP:FTMUSD
BITSTAMP:GALAEUR
BITSTAMP:GALAUSD
BITSTAMP:GBPUSD
BITSTAMP:GRTEUR
BITSTAMP:GRTUSD
BITSTAMP:GYENUSD
BITSTAMP:HBAREUR
BITSTAMP:HBARUSD
BITSTAMP:HYPEEUR
BITSTAMP:HYPEUSD
BITSTAMP:ICPEUR
BITSTAMP:ICPUSD
BITSTAMP:IMXEUR
BITSTAMP:IMXUSD
BITSTAMP:INJEUR
BITSTAMP:INJUSD
BITSTAMP:JUPEUR
BITSTAMP:JUPUSD
BITSTAMP:KNCEUR
BITSTAMP:KNCUSD
BITSTAMP:LDOEUR
BITSTAMP:LDOUSD
BITSTAMP:LINKEUR
BITSTAMP:LINKGBP
BITSTAMP:LINKUSD
BITSTAMP:LITEUR
BITSTAMP:LITUSD
BITSTAMP:LMWREUR
BITSTAMP:LMWRUSD
BITSTAMP:LTCBTC
BITSTAMP:LTCEUR
BITSTAMP:LTCUSD
BITSTAMP:MANAEUR
BITSTAMP:MANAUSD
BITSTAMP:MELANIAEUR
BITSTAMP:MELANIAUSD
BITSTAMP:MEWEUR
BITSTAMP:MEWUSD
BITSTAMP:MKREUR
BITSTAMP:MKRUSD
BITSTAMP:MOGEUR
BITSTAMP:MOGUSD
BITSTAMP:MONEUR
BITSTAMP:MONUSD
BITSTAMP:MOODENGEUR
BITSTAMP:MOODENGUSD
BITSTAMP:NEAREUR
BITSTAMP:NEARUSD
BITSTAMP:ONDOEUR
BITSTAMP:ONDOUSD
BITSTAMP:OPEUR
BITSTAMP:OPUSD
BITSTAMP:PENDLEEUR
BITSTAMP:PENDLEUSD
BITSTAMP:PENGUEUR
BITSTAMP:PENGUUSD
BITSTAMP:PEPEEUR
BITSTAMP:PEPEUSD
BITSTAMP:PNUTEUR
BITSTAMP:PNUTUSD
BITSTAMP:POLEUR
BITSTAMP:POLUSD
BITSTAMP:POPCATEUR
BITSTAMP:POPCATUSD
BITSTAMP:PYTHEUR
BITSTAMP:PYTHUSD
BITSTAMP:PYUSDUSD
BITSTAMP:RLUSDEUR
BITSTAMP:RLUSDUSD
BITSTAMP:RLUSDUSDT
BITSTAMP:RNDREUR
BITSTAMP:RNDRUSD
BITSTAMP:SEUR
BITSTAMP:SUSD
BITSTAMP:SANDEUR
BITSTAMP:SANDUSD
BITSTAMP:SEIEUR
BITSTAMP:SEIUSD
BITSTAMP:SGDUSD
BITSTAMP:SHIBEUR
BITSTAMP:SHIBUSD
BITSTAMP:SKLEUR
BITSTAMP:SKLUSD
BITSTAMP:SNXEUR
BITSTAMP:SNXUSD
BITSTAMP:SOLEUR
BITSTAMP:SOLUSD
BITSTAMP:SOLUSDC
BITSTAMP:SPKEUR
BITSTAMP:SPKUSD
BITSTAMP:STORJEUR
BITSTAMP:STORJUSD
BITSTAMP:STRKEUR
BITSTAMP:STRKUSD
BITSTAMP:SUIEUR
BITSTAMP:SUIUSD
BITSTAMP:SUSHIEUR
BITSTAMP:SUSHIUSD
BITSTAMP:SYRUPEUR
BITSTAMP:SYRUPUSD
BITSTAMP:TAIEUR
BITSTAMP:TAIUSD
BITSTAMP:TAOEUR
BITSTAMP:TAOUSD
BITSTAMP:TONEUR
BITSTAMP:TONUSD
BITSTAMP:TRACEUR
BITSTAMP:TRACUSD
BITSTAMP:TRUFEUR
BITSTAMP:TRUFUSD
BITSTAMP:TRUMPEUR
BITSTAMP:TRUMPUSD
BITSTAMP:TRXEUR
BITSTAMP:TRXUSD
BITSTAMP:UMAEUR
BITSTAMP:UMAUSD
BITSTAMP:UNIEUR
BITSTAMP:UNIUSD
BITSTAMP:USDCEUR
BITSTAMP:USDCUSD
BITSTAMP:USDCUSDT
BITSTAMP:USDTEUR
BITSTAMP:USDTUSD
BITSTAMP:VCHFEUR
BITSTAMP:VCHFUSD
BITSTAMP:VEUREUR
BITSTAMP:VEURUSD
BITSTAMP:VIRTUALEUR
BITSTAMP:VIRTUALUSD
BITSTAMP:WBTCBTC
BITSTAMP:WECANEUR
BITSTAMP:WECANUSD
BITSTAMP:WENEUR
BITSTAMP:WENUSD
BITSTAMP:WIFEUR
BITSTAMP:WIFUSD
BITSTAMP:WLFIEUR
BITSTAMP:WLFIUSD
BITSTAMP:WOOEUR
BITSTAMP:WOOUSD
BITSTAMP:XCHNGEUR
BITSTAMP:XCHNGUSD
BITSTAMP:XCNEUR
BITSTAMP:XCNUSD
BITSTAMP:XDCEUR
BITSTAMP:XDCUSD
BITSTAMP:XLMEUR
BITSTAMP:XLMUSD
BITSTAMP:XPLEUR
BITSTAMP:XPLUSD
BITSTAMP:XRPBTC
BITSTAMP:XRPEUR
BITSTAMP:XRPGBP
BITSTAMP:XRPRLUSD
BITSTAMP:XRPUSD
BITSTAMP:XRPUSDC
BITSTAMP:XRPUSDT
BITSTAMP:XSGDUSD
BITSTAMP:XSGDUSDT
BITSTAMP:ZETAEUR
BITSTAMP:ZETAUSD
BITSTAMP:ZORAEUR
BITSTAMP:ZORAUSD
BITSTAMP:ZRXEUR
BITSTAMP:ZRXUSD
BITSTAMP:ZUSDUSD
