BITFINEX:ADABTC
BITFINEX:ADAUSD
BITFINEX:ADAUST
BITFINEX:ALGUSD
BITFINEX:APTUSD
BITFINEX:APTUST
BITFINEX:ARBUSD
BITFINEX:ARBUST
BITFINEX:ATOUSD
BITFINEX:ATOUST
BITFINEX:B2MUSD
BITFINEX:B2MUST
BITFINEX:BGBUSD
BITFINEX:BGBUST
BITFINEX:BTCEUR
BITFINEX:BTCGBP
BITFINEX:BTCUSD
BITFINEX:BTCUST
BITFINEX:CHZUSD
BITFINEX:CHZUST
BITFINEX:CRVUSD
BITFINEX:CRVUST
BITFINEX:DOTUSD
BITFINEX:DOTUST
BITFINEX:DSHBTC
BITFINEX:DSHUSD
BITFINEX:ENAUSD
BITFINEX:ENAUST
BITFINEX:EOSUSD
BITFINEX:EOSUST
BITFINEX:ETCBTC
BITFINEX:ETCUSD
BITFINEX:ETCUST
BITFINEX:ETHBTC
BITFINEX:ETHEUR
BITFINEX:ETHGBP
BITFINEX:ETHUSD
BITFINEX:ETHUST
BITFINEX:EURUST
BITFINEX:FILUSD
BITFINEX:FILUST
BITFINEX:GBPUST
BITFINEX:GTXUSD
BITFINEX:GTXUST
BITFINEX:GUNUSD
BITFINEX:GUNUST
BITFINEX:IOTUSD
BITFINEX:JPYUST
BITFINEX:JUPUSD
BITFINEX:JUPUST
BITFINEX:LDOUSD
BITFINEX:LDOUST
BITFINEX:LEOBTC
BITFINEX:LEOUSD
BITFINEX:LEOUST
BITFINEX:LTCBTC
BITFINEX:LTCUSD
BITFINEX:LTCUST
BITFINEX:MNTUSD
BITFINEX:MNTUST
BITFINEX:NEOUSD
BITFINEX:NEOUST
BITFINEX:NYMUSD
BITFINEX:NYMUST
BITFINEX:OMNUSD
BITFINEX:OPXUSD
BITFINEX:OPXUST
BITFINEX:PNKUSD
BITFINEX:POLUSD
BITFINEX:POLUST
BITFINEX:RLSUSD
BITFINEX:RLSUST
BITFINEX:RRTUSD
BITFINEX:SEIUSD
BITFINEX:SEIUST
BITFINEX:SKYUSD
BITFINEX:SKYUST
BITFINEX:SOLBTC
BITFINEX:SOLUSD
BITFINEX:SOLUST
BITFINEX:STGUSD
BITFINEX:STGUST
BITFINEX:STXUSD
BITFINEX:STXUST
BITFINEX:SUIUSD
BITFINEX:SUIUST
BITFINEX:SUNUSD
BITFINEX:SUNUST
BITFINEX:TONUSD
BITFINEX:TONUST
BITFINEX:TRXBTC
BITFINEX:TRXEUR
BITFINEX:TRXUSD
BITFINEX:TRXUST
BITFINEX:UDCUSD
BITFINEX:UDCUST
BITFINEX:UNIUSD
BITFINEX:UNIUST
BITFINEX:UOSBTC
BITFINEX:UOSUSD
BITFINEX:USTUSD
BITFINEX:WBTBTC
BITFINEX:WBTUSD
BITFINEX:XDCUSD
BITFINEX:XDCUST
BITFINEX:XLMBTC
BITFINEX:XLMUSD
BITFINEX:XLMUST
BITFINEX:XMRBTC
BITFINEX:XMRUSD
BITFINEX:XMRUST
BITFINEX:XPLUSD
BITFINEX:XPLUST
BITFINEX:XRPBTC
BITFINEX:XRPUSD
BITFINEX:XRPUST
BITFINEX:ZECBTC
BITFINEX:ZECUSD
BITFINEX:ZECUST
BITFINEX:ZROUSD
BITFINEX:ZROUST
