COINBASE:0GPERP.P
COINBASE:1000BONKPERP.P
COINBASE:1000FLOKIPERP.P
COINBASE:1000MOGPERP.P
COINBASE:1000PEPEPERP.P
COINBASE:1000SATSPERP.P
COINBASE:1000SHIBPERP.P
COINBASE:1000TOSHIPERP.P
COINBASE:2ZPERP.P
COINBASE:AAPLPERP.P
COINBASE:AAVEPERP.P
COINBASE:AAVEUSDC.P
COINBASE:ADAPERP.P
COINBASE:ADAUSDC.P
COINBASE:AEROPERP.P
COINBASE:AEROUSDC.P
COINBASE:AEVOPERP.P
COINBASE:AI16ZPERP.P
COINBASE:AIXBTPERP.P
COINBASE:AKTPERP.P
COINBASE:ALGOPERP.P
COINBASE:ALGOUSDC.P
COINBASE:ALTPERP.P
COINBASE:AMZNPERP.P
COINBASE:ANIMEPERP.P
COINBASE:APEPERP.P
COINBASE:APERP.P
COINBASE:APTPERP.P
COINBASE:APTUSDC.P
COINBASE:ARBPERP.P
COINBASE:ARBUSDC.P
COINBASE:ARKMPERP.P
COINBASE:ARPERP.P
COINBASE:ASTERPERP.P
COINBASE:ATHPERP.P
COINBASE:ATOMPERP.P
COINBASE:ATOMUSDC.P
COINBASE:AVAXPERP.P
COINBASE:AVAXUSDC.P
COINBASE:AVNTPERP.P
COINBASE:AXSPERP.P
COINBASE:AZTECPERP.P
COINBASE:B3PERP.P
COINBASE:BABYPERP.P
COINBASE:BARDPERP.P
COINBASE:BASED1PERP.P
COINBASE:BBPERP.P
COINBASE:BCHPERP.P
COINBASE:BCHUSDC.P
COINBASE:BEAMPERP.P
COINBASE:BERAPERP.P
COINBASE:BIGTIMEPERP.P
COINBASE:BIOPERP.P
COINBASE:BIRBPERP.P
COINBASE:BLASTPERP.P
COINBASE:BLURPERP.P
COINBASE:BNBPERP.P
COINBASE:BNBUSDC.P
COINBASE:BOMEPERP.P
COINBASE:BONKUSDC.P
COINBASE:BRETTPERP.P
COINBASE:BTCPERP.P
COINBASE:BTCUSDC.P
COINBASE:CAKEPERP.P
COINBASE:CATIPERP.P
COINBASE:CBETHUSDC.P
COINBASE:CFXPERP.P
COINBASE:CGLDPERP.P
COINBASE:CHIPPERP.P
COINBASE:CLANKERPERP.P
COINBASE:COIN50PERP.P
COINBASE:COMPPERP.P
COINBASE:COOKIEPERP.P
COINBASE:COSMOSDYDXUSDC.P
COINBASE:COWPERP.P
COINBASE:CROPERP.P
COINBASE:CRVPERP.P
COINBASE:CRVUSDC.P
COINBASE:DASHPERP.P
COINBASE:DEGENPERP.P
COINBASE:DOGEPERP.P
COINBASE:DOGEUSDC.P
COINBASE:DOGSPERP.P
COINBASE:DOTPERP.P
COINBASE:DOTUSDC.P
COINBASE:DRIFTPERP.P
COINBASE:DYDXPERP.P
COINBASE:DYMPERP.P
COINBASE:EDGEPERP.P
COINBASE:EDGEXPERP.P
COINBASE:EGLDPERP.P
COINBASE:EIGENPERP.P
COINBASE:ENAPERP.P
COINBASE:ENSPERP.P
COINBASE:EOSPERP.P
COINBASE:ERAPERP.P
COINBASE:ESPPERP.P
COINBASE:ETCPERP.P
COINBASE:ETHFIPERP.P
COINBASE:ETHPERP.P
COINBASE:ETHUSDC.P
COINBASE:EURCPERP.P
COINBASE:EURCUSDC.P
COINBASE:FAIPERP.P
COINBASE:FARTCOINPERP.P
COINBASE:FARTCOINUSDC.P
COINBASE:FETPERP.P
COINBASE:FILPERP.P
COINBASE:FILUSDC.P
COINBASE:FLOWPERP.P
COINBASE:FTMPERP.P
COINBASE:GIGAPERP.P
COINBASE:GMTPERP.P
COINBASE:GMXPERP.P
COINBASE:GOLDPERP.P
COINBASE:GOOGLPERP.P
COINBASE:GRASSPERP.P
COINBASE:GRTPERP.P
COINBASE:GUNPERP.P
COINBASE:HBARPERP.P
COINBASE:HBARUSDC.P
COINBASE:HMSTRPERP.P
COINBASE:HNTPERP.P
COINBASE:HOMEPERP.P
COINBASE:HYPEPERP.P
COINBASE:HYPEUSDC.P
COINBASE:ICPPERP.P
COINBASE:ICPUSDC.P
COINBASE:IMXPERP.P
COINBASE:INITPERP.P
COINBASE:INJPERP.P
COINBASE:INJUSDC.P
COINBASE:INXPERP.P
COINBASE:IOPERP.P
