COINEX:1INCHUSDT.P
COINEX:AAVEUSDT.P
COINEX:ACTUSDT.P
COINEX:ADAUSDC.P
COINEX:ADAUSDT.P
COINEX:AEROUSDT.P
COINEX:AEVOUSDT.P
COINEX:AI16ZUSDT.P
COINEX:AIXBTUSDT.P
COINEX:ALCHUSDT.P
COINEX:ALGOUSDT.P
COINEX:ALTUSDT.P
COINEX:ANIMEUSDT.P
COINEX:ANKRUSDT.P
COINEX:APEUSDT.P
COINEX:APTUSDT.P
COINEX:ARBUSDT.P
COINEX:ARKMUSDT.P
COINEX:ARUSDT.P
COINEX:ATHUSDT.P
COINEX:ATOMUSDT.P
COINEX:AUCTIONUSDT.P
COINEX:AUSDT.P
COINEX:AVAILUSDT.P
COINEX:AVAXUSDT.P
COINEX:AXSUSDT.P
COINEX:BABYDOGEUSDT.P
COINEX:BABYUSDT.P
COINEX:BANUSDT.P
COINEX:BBUSDT.P
COINEX:BCHUSDT.P
COINEX:BEAMXUSDT.P
COINEX:BERAUSDT.P
COINEX:BICOUSDT.P
COINEX:BIGTIMEUSDT.P
COINEX:BIOUSDT.P
COINEX:BITCOINUSDT.P
COINEX:BLURUSDT.P
COINEX:BNBUSDC.P
COINEX:BNBUSDT.P
COINEX:BOMEUSDT.P
COINEX:BONKUSDT.P
COINEX:BRETTUSDT.P
COINEX:BTCUSD.P
COINEX:BTCUSDC.P
COINEX:BTCUSDT.P
COINEX:BTTUSDT.P
COINEX:BUSDT.P
COINEX:CAKEUSDT.P
COINEX:CATUSDT.P
COINEX:CELRUSDT.P
COINEX:CETUSUSDT.P
COINEX:CFXUSDT.P
COINEX:CHEEMSUSDT.P
COINEX:CHRUSDT.P
COINEX:CHZUSDT.P
COINEX:CKBUSDT.P
COINEX:COMPUSDT.P
COINEX:CROUSDT.P
COINEX:CRVUSDT.P
COINEX:CVXUSDT.P
COINEX:DASHUSDT.P
COINEX:DEGENUSDT.P
COINEX:DOGEUSDC.P
COINEX:DOGEUSDT.P
COINEX:DOGSUSDT.P
COINEX:DOGUSDT.P
COINEX:DOTUSDT.P
COINEX:DUSKUSDT.P
COINEX:DYDXUSDT.P
COINEX:DYMUSDT.P
COINEX:EGLDUSDT.P
COINEX:EIGENUSDT.P
COINEX:ENAUSDT.P
COINEX:ENJUSDT.P
COINEX:ENSUSDT.P
COINEX:ETCUSDT.P
COINEX:ETHFIUSDT.P
COINEX:ETHUSD.P
COINEX:ETHUSDC.P
COINEX:ETHUSDT.P
COINEX:FARTCOINUSDT.P
COINEX:FILUSDT.P
COINEX:FLOKIUSDT.P
COINEX:FLOWUSDT.P
COINEX:FXSUSDT.P
COINEX:GALAUSDT.P
COINEX:GASUSDT.P
COINEX:GLMUSDT.P
COINEX:GMTUSDT.P
COINEX:GOATUSDT.P
COINEX:GRASSUSDT.P
COINEX:GRIFFAINUSDT.P
COINEX:GRTUSDT.P
COINEX:HBARUSDT.P
COINEX:HMSTRUSDT.P
COINEX:HNTUSDT.P
COINEX:HOTUSDT.P
COINEX:HUMAUSDT.P
COINEX:HYPEUSDT.P
COINEX:ICPUSDT.P
COINEX:IDUSDT.P
COINEX:IMXUSDT.P
COINEX:INJUSDT.P
COINEX:IOTAUSDT.P
COINEX:IOTXUSDT.P
COINEX:IOUSDT.P
COINEX:IPUSDT.P
COINEX:JASMYUSDT.P
COINEX:JSTUSDT.P
COINEX:JTOUSDT.P
COINEX:JUPUSDT.P
COINEX:KAIAUSDT.P
COINEX:KAITOUSDT.P
COINEX:KASUSDT.P
COINEX:KAVAUSDT.P
COINEX:KDAUSDT.P
COINEX:KMNOUSDT.P
COINEX:KSMUSDT.P
COINEX:LAUNCHCOINUSDT.P
COINEX:LDOUSDT.P
COINEX:LINKUSDT.P
COINEX:LPTUSDT.P
COINEX:LRCUSDT.P
COINEX:LTCUSDT.P
COINEX:LUNAUSDT.P
COINEX:LUNCUSDT.P
