KRAKEN:0GEUR
KRAKEN:0GUSD
KRAKEN:1INCHEUR
KRAKEN:1INCHUSD
KRAKEN:2ZEUR
KRAKEN:2ZUSD
KRAKEN:AAVEETH
KRAKEN:AAVEEUR
KRAKEN:AAVEGBP
KRAKEN:AAVEUSD
KRAKEN:AAVEXBT
KRAKEN:ABEUR
KRAKEN:ABUSD
KRAKEN:ACAEUR
KRAKEN:ACAUSD
KRAKEN:ACHEUR
KRAKEN:ACHUSD
KRAKEN:ACTEUR
KRAKEN:ACTUSD
KRAKEN:ACXEUR
KRAKEN:ACXUSD
KRAKEN:ADAAUD
KRAKEN:ADAETH
KRAKEN:ADAEUR
KRAKEN:ADAGBP
KRAKEN:ADAUSD
KRAKEN:ADAUSDC
KRAKEN:ADAUSDT
KRAKEN:ADAXBT
KRAKEN:ADXEUR
KRAKEN:ADXUSD
KRAKEN:AEROEUR
KRAKEN:AEROUSD
KRAKEN:AEUR
KRAKEN:AEVOEUR
KRAKEN:AEVOUSD
KRAKEN:AGLDEUR
KRAKEN:AGLDUSD
KRAKEN:AI16ZEUR
KRAKEN:AI16ZUSD
KRAKEN:AI16ZUSDC
KRAKEN:AI16ZUSDT
KRAKEN:AI3EUR
KRAKEN:AI3USD
KRAKEN:AINUSD
KRAKEN:AIOEUR
KRAKEN:AIOUSD
KRAKEN:AIOZEUR
KRAKEN:AIOZUSD
KRAKEN:AIREUR
KRAKEN:AIRUSD
KRAKEN:AIXBTEUR
KRAKEN:AIXBTUSD
KRAKEN:AKEEUR
KRAKEN:AKEUSD
KRAKEN:AKTEUR
KRAKEN:AKTUSD
KRAKEN:ALCHEUR
KRAKEN:ALCHUSD
KRAKEN:ALCXEUR
KRAKEN:ALCXUSD
KRAKEN:ALGOETH
KRAKEN:ALGOEUR
KRAKEN:ALGOGBP
KRAKEN:ALGOUSD
KRAKEN:ALGOUSDC
KRAKEN:ALGOUSDT
KRAKEN:ALGOXBT
KRAKEN:ALICEEUR
KRAKEN:ALICEUSD
KRAKEN:ALKIMIEUR
KRAKEN:ALKIMIUSD
KRAKEN:ALLOEUR
KRAKEN:ALLOUSD
KRAKEN:ALPHAEUR
KRAKEN:ALPHAUSD
KRAKEN:ALTEUR
KRAKEN:ALTHEAEUR
KRAKEN:ALTHEAUSD
KRAKEN:ALTUSD
KRAKEN:ANIMEEUR
KRAKEN:ANIMEUSD
KRAKEN:ANKREUR
KRAKEN:ANKRUSD
KRAKEN:ANKRXBT
KRAKEN:ANLOGEUR
KRAKEN:ANLOGUSD
KRAKEN:ANONEUR
KRAKEN:ANONUSD
KRAKEN:APEEUR
KRAKEN:APENFTEUR
KRAKEN:APENFTUSD
KRAKEN:APEUSD
KRAKEN:APEUSDC
KRAKEN:APEUSDT
KRAKEN:API3EUR
KRAKEN:API3USD
KRAKEN:APREUR
KRAKEN:APRUSD
KRAKEN:APTEUR
KRAKEN:APTUSD
KRAKEN:APUEUR
KRAKEN:APUUSD
KRAKEN:ARBEUR
KRAKEN:ARBUSD
KRAKEN:ARCEUR
KRAKEN:ARCUSD
KRAKEN:AREUR
KRAKEN:ARKMEUR
KRAKEN:ARKMUSD
KRAKEN:ARPAEUR
KRAKEN:ARPAUSD
KRAKEN:ARTEUR
KRAKEN:ARTUSD
KRAKEN:ARUSD
KRAKEN:ASRREUR
KRAKEN:ASRRUSD
KRAKEN:ASTEREUR
KRAKEN:ASTERUSD
KRAKEN:ASTREUR
KRAKEN:ASTRUSD
KRAKEN:ATHEUR
KRAKEN:ATHUSD
KRAKEN:ATLASEUR
KRAKEN:ATLASUSD
KRAKEN:ATOMETH
KRAKEN:ATOMEUR
KRAKEN:ATOMGBP
KRAKEN:ATOMUSD
KRAKEN:ATOMUSDC
KRAKEN:ATOMUSDT
KRAKEN:ATOMXBT
KRAKEN:AUCTIONEUR
KRAKEN:AUCTIONUSD
KRAKEN:AUDIOEUR
KRAKEN:AUDIOUSD
KRAKEN:AUDJPY
KRAKEN:AUDUSD
KRAKEN:AURAEUR
KRAKEN:AURAUSD
KRAKEN:AUSD
KRAKEN:AVAAIEUR
KRAKEN:AVAAIUSD
KRAKEN:AVAXEUR
KRAKEN:AVAXUSD
KRAKEN:AVAXUSDC
KRAKEN:AVAXUSDT
KRAKEN:AVNTEUR
KRAKEN:AVNTUSD
KRAKEN:AXSEUR
KRAKEN:AXSUSD
KRAKEN:B2EUR
KRAKEN:B2USD
KRAKEN:B3EUR
KRAKEN:B3USD
KRAKEN:BABYEUR
KRAKEN:BABYUSD
KRAKEN:BADGEREUR
KRAKEN:BADGERUSD
KRAKEN:BALEUR
KRAKEN:BALUSD
KRAKEN:BANANAS31EUR
KRAKEN:BANANAS31USD
KRAKEN:BANDEUR
KRAKEN:BANDUSD
KRAKEN:BATEUR
KRAKEN:BATUSD
KRAKEN:BCHAUD
KRAKEN:BCHETH
KRAKEN:BCHEUR
KRAKEN:BCHGBP
KRAKEN:BCHJPY
KRAKEN:BCHUSD
KRAKEN:BCHUSDC
KRAKEN:BCHUSDT
KRAKEN:BCHXBT
KRAKEN:BDXNEUR
KRAKEN:BDXNUSD
KRAKEN:BEAMEUR
KRAKEN:BEAMUSD
KRAKEN:BERAEUR
KRAKEN:BERAUSD
KRAKEN:BERAUSDC
KRAKEN:BERAUSDT
KRAKEN:BERTEUR
KRAKEN:BERTUSD
KRAKEN:BICOEUR
KRAKEN:BICOUSD
KRAKEN:BIGTIMEEUR
KRAKEN:BIGTIMEUSD
KRAKEN:BILLYEUR
KRAKEN:BILLYUSD
KRAKEN:BIOEUR
KRAKEN:BIOUSD
KRAKEN:BITEUR
KRAKEN:BITUSD
KRAKEN:BKSEUR
KRAKEN:BKSUSD
KRAKEN:BLESSUSD
KRAKEN:BLUAIEUR
KRAKEN:BLUAIUSD
KRAKEN:BLUEEUR
KRAKEN:BLUEUSD
KRAKEN:BLUREUR
KRAKEN:BLURUSD
KRAKEN:BLZEUR
KRAKEN:BLZUSD
KRAKEN:BMBEUR
KRAKEN:BMBUSD
KRAKEN:BMTEUR
KRAKEN:BMTUSD
KRAKEN:BNBEUR
KRAKEN:BNBUSD
KRAKEN:BNBUSDC
KRAKEN:BNBUSDT
KRAKEN:BNCEUR
KRAKEN:BNCUSD
KRAKEN:BNTEUR
KRAKEN:BNTUSD
KRAKEN:BOBAEUR
KRAKEN:BOBAUSD
KRAKEN:BOBEUR
KRAKEN:BOBUSD
KRAKEN:BODENEUR
KRAKEN:BODENUSD
KRAKEN:BONDEUR
KRAKEN:BONDUSD
KRAKEN:BONKEUR
KRAKEN:BONKUSD
KRAKEN:BOSEUR
KRAKEN:BOSUSD
KRAKEN:BRICKEUR
KRAKEN:BRICKUSD
KRAKEN:BSXEUR
KRAKEN:BSXUSD
KRAKEN:BTREUR
KRAKEN:BTRUSD
KRAKEN:BTTEUR
KRAKEN:BTTUSD
KRAKEN:C98EUR
KRAKEN:C98USD
KRAKEN:CAKEEUR
KRAKEN:CAKEUSD
KRAKEN:CAMPEUR
KRAKEN:CAMPUSD
KRAKEN:CARVEUR
KRAKEN:CARVUSD
KRAKEN:CATEUR
KRAKEN:CATUSD
KRAKEN:CCDEUR
KRAKEN:CCDUSD
KRAKEN:CCEUR
KRAKEN:CCUSD
KRAKEN:CCUSDC
KRAKEN:CCUSDT
KRAKEN:CELOEUR
KRAKEN:CELOUSD
KRAKEN:CELREUR
KRAKEN:CELRUSD
KRAKEN:CFGEUR
KRAKEN:CFGUSD
KRAKEN:CGNEUR
KRAKEN:CGNUSD
KRAKEN:CHECKEUR
KRAKEN:CHECKUSD
KRAKEN:CHEEMSEUR
KRAKEN:CHEEMSUSD
KRAKEN:CHEXEUR
KRAKEN:CHEXUSD
KRAKEN:CHILLHOUSEEUR
KRAKEN:CHILLHOUSEUSD
KRAKEN:CHREUR
KRAKEN:CHRUSD
KRAKEN:CHZEUR
KRAKEN:CHZUSD
KRAKEN:CLANKEREUR
KRAKEN:CLANKERUSD
KRAKEN:CLOUDEUR
KRAKEN:CLOUDUSD
KRAKEN:CLVEUR
KRAKEN:CLVUSD
KRAKEN:CMETHETH
KRAKEN:CMETHUSD
KRAKEN:COMPEUR
KRAKEN:COMPUSD
KRAKEN:COMPXBT
KRAKEN:COOKIEEUR
KRAKEN:COOKIEUSD
KRAKEN:COQEUR
KRAKEN:COQUSD
KRAKEN:CORNEUR
KRAKEN:CORNUSD
KRAKEN:COTIEUR
KRAKEN:COTIUSD
KRAKEN:COWEUR
KRAKEN:COWUSD
KRAKEN:CPOOLEUR
KRAKEN:CPOOLUSD
KRAKEN:CQTEUR
KRAKEN:CQTUSD
KRAKEN:CROEUR
KRAKEN:CROUSD
KRAKEN:CROUSDC
KRAKEN:CROUSDT
KRAKEN:CRVEUR
KRAKEN:CRVUSD
KRAKEN:CSMEUR
KRAKEN:CSMUSD
KRAKEN:CTCEUR
KRAKEN:CTCUSD
KRAKEN:CTSIEUR
KRAKEN:CTSIUSD
KRAKEN:CVCEUR
KRAKEN:CVCUSD
KRAKEN:CVXEUR
KRAKEN:CVXUSD
KRAKEN:CXTEUR
KRAKEN:CXTUSD
KRAKEN:CYBEREUR
KRAKEN:CYBERUSD
KRAKEN:DAGEUR
KRAKEN:DAGUSD
KRAKEN:DAIEUR
KRAKEN:DAIUSD
KRAKEN:DAIUSDT
KRAKEN:DASHEUR
KRAKEN:DASHUSD
KRAKEN:DBREUR
KRAKEN:DBRUSD
KRAKEN:DEEPEUR
KRAKEN:DEEPUSD
KRAKEN:DEGENEUR
KRAKEN:DEGENUSD
KRAKEN:DENTEUR
KRAKEN:DENTUSD
KRAKEN:DMCEUR
KRAKEN:DMCUSD
KRAKEN:DOGEUR
KRAKEN:DOGSEUR
KRAKEN:DOGSUSD
KRAKEN:DOGUSD
KRAKEN:DOLOEUR
KRAKEN:DOLOUSD
KRAKEN:DOTETH
KRAKEN:DOTEUR
KRAKEN:DOTGBP
KRAKEN:DOTJPY
KRAKEN:DOTUSD
KRAKEN:DOTUSDC
KRAKEN:DOTUSDT
KRAKEN:DOTXBT
KRAKEN:DRIFTEUR
KRAKEN:DRIFTUSD
KRAKEN:DRVEUR
KRAKEN:DRVUSD
KRAKEN:DUCKEUR
KRAKEN:DUCKUSD
KRAKEN:DYDXEUR
KRAKEN:DYDXUSD
KRAKEN:DYMEUR
KRAKEN:DYMUSD
KRAKEN:EATEUR
KRAKEN:EATUSD
KRAKEN:EDGEEUR
KRAKEN:EDGEUSD
KRAKEN:EDUEUR
KRAKEN:EDUUSD
KRAKEN:EGLDEUR
KRAKEN:EGLDUSD
KRAKEN:EIGENEUR
KRAKEN:EIGENUSD
KRAKEN:ELXEUR
KRAKEN:ELXUSD
KRAKEN:ENAEUR
KRAKEN:ENAUSD
KRAKEN:ENJEUR
KRAKEN:ENJUSD
KRAKEN:ENSEUR
KRAKEN:ENSOEUR
KRAKEN:ENSOUSD
KRAKEN:ENSUSD
KRAKEN:EPTEUR
KRAKEN:EPTUSD
KRAKEN:ESEUR
KRAKEN:ESUSD
KRAKEN:ESXEUR
KRAKEN:ESXUSD
KRAKEN:ETHAUD
KRAKEN:ETHCHF
KRAKEN:ETHDAI
KRAKEN:ETHEURC
KRAKEN:ETHEUROP
KRAKEN:ETHFIEUR
KRAKEN:ETHFIUSD
KRAKEN:ETHPYUSD
KRAKEN:ETHUSD1
KRAKEN:ETHUSDC
KRAKEN:ETHUSDT
KRAKEN:ETHWETH
KRAKEN:ETHWEUR
KRAKEN:ETHWUSD
KRAKEN:EULEUR
KRAKEN:EULUSD
KRAKEN:EURAUD
KRAKEN:EURCAD
KRAKEN:EURCEUR
KRAKEN:EURCHF
KRAKEN:EURCUSD
KRAKEN:EURCUSDC
KRAKEN:EURGBP
KRAKEN:EURJPY
KRAKEN:EUROPEUR
KRAKEN:EUROPUSD
KRAKEN:EUROPUSDC
KRAKEN:EURQEUR
KRAKEN:EURQUSD
KRAKEN:EURREUR
KRAKEN:EURRUSD
KRAKEN:EURRUSDC
KRAKEN:EURRUSDT
KRAKEN:EWTEUR
KRAKEN:EWTUSD
KRAKEN:FARMEUR
KRAKEN:FARMUSD
KRAKEN:FARTCOINEUR
KRAKEN:FARTCOINUSD
KRAKEN:FARTCOINUSDC
KRAKEN:FARTCOINUSDT
KRAKEN:FETEUR
KRAKEN:FETUSD
KRAKEN:FFEUR
KRAKEN:FFUSD
KRAKEN:FHEEUR
KRAKEN:FHEUSD
KRAKEN:FIDAEUR
